,us_state,county,days_with_aqi2019,good_days2019,moderate_days2019,unhealthy_sensitive_days2019,unhealthy_days2019,very_unhealthy_days2019,hazardous_days2019,days_co2019,days_no2_2019,days_ozone2019,days_so2_2019,days_pm2_2019,days_pm10_2019,poverty_percentage2019,days_with_aqi2018,good_days2018,moderate_days2018,unhealthy_sensitive_days2018,unhealthy_days2018,very_unhealthy_days2018,hazardous_days2018,days_co2018,days_no2_2018,days_ozone2018,days_so2_2018,days_pm2_2018,days_pm10_2018,poverty_percentage2018,days_with_aqi2017,good_days2017,moderate_days2017,unhealthy_sensitive_days2017,unhealthy_days2017,very_unhealthy_days2017,hazardous_days2017,days_co2017,days_no2_2017,days_ozone2017,days_so2_2017,days_pm2_2017,days_pm10_2017,poverty_percentage2017,days_with_aqi2016,good_days2016,moderate_days2016,unhealthy_sensitive_days2016,unhealthy_days2016,very_unhealthy_days2016,hazardous_days2016,days_co2016,days_no2_2016,days_ozone2016,days_so2_2016,days_pm2_2016,days_pm10_2016,poverty_percentage2016,average_aqi_days,average_good_days,average_moderate_days,average_unhealthy_sensitive_days,average_unhealthy_days,average_very_unhealthy_days,average_hazardous_days,average_co_days,average_no2_days,average_ozone_days,average_so2_days,average_pm2_days,average_pm10_days,average_poverty_percentage,percent_pop_per_100k,cancer_classification
198,GA,Houston,354,246,106,1,1,0,0,0,0,0,0,354,0,11.01,322,259,61,2,0,0,0,0,0,0,0,322,0,12.1,330,265,65,0,0,0,0,0,0,0,0,330,0,13.01,352,306,44,2,0,0,0,0,0,0,0,352,0,14.9,339.5,269,69,1.25,0.25,0,0,0,0,0,0,339.5,0,12.755,14.14905806,low
199,GA,Lowndes,309,255,54,0,0,0,0,0,0,0,0,309,0,20.4,315,264,51,0,0,0,0,0,0,0,0,315,0,25.9,317,235,81,0,1,0,0,0,0,0,0,317,0,25.3,327,276,51,0,0,0,0,0,0,0,0,327,0,22.1,317,257.5,59.25,0,0.25,0,0,0,0,0,0,317,0,23.425,11.51942234,low
200,GA,Murray,269,230,39,0,0,0,0,0,0,239,0,30,0,14.5,271,241,30,0,0,0,0,0,0,222,0,49,0,15.2,257,229,28,0,0,0,0,0,0,204,0,53,0,17.2,275,233,41,1,0,0,0,0,0,242,0,33,0,18.1,268,233.25,34.5,0.25,0,0,0,0,0,226.75,0,41.25,0,16.25,20.40060288,medium
201,GA,Muscogee,364,274,90,0,0,0,0,0,0,149,0,215,0,18.4,364,305,59,0,0,0,0,0,0,178,0,186,0,20.1,360,287,73,0,0,0,0,0,0,151,0,209,0,22.6,360,281,74,5,0,0,0,0,0,175,0,185,0,21.5,362,286.75,74,1.25,0,0,0,0,0,163.25,0,198.75,0,20.65,13.14002185,low
202,GA,Pike,353,307,43,3,0,0,0,0,0,353,0,0,0,8.7,288,274,13,1,0,0,0,0,0,288,0,0,0,10.6,357,329,27,1,0,0,0,0,0,357,0,0,0,10.7,339,290,45,4,0,0,0,0,0,339,0,0,0,11.7,334.25,300,32,2.25,0,0,0,0,0,334.25,0,0,0,10.425,18.76067851,medium
203,GA,Richmond,364,231,131,2,0,0,0,0,0,127,16,203,18,21.7,364,261,97,6,0,0,0,0,0,106,26,223,9,21.9,365,275,89,0,0,0,1,0,0,153,9,199,4,23.7,365,272,87,4,2,0,0,0,0,146,32,187,0,25.6,364.5,259.75,101,3,0.5,0,0.25,0,0,133,20.75,203,7.75,23.225,15.11489105,low
204,GA,Rockdale,241,186,50,5,0,0,0,0,0,241,0,0,0,12.1,243,200,41,2,0,0,0,0,0,243,0,0,0,13.2,243,212,30,1,0,0,0,0,0,243,0,0,0,14.1,240,179,52,9,0,0,0,0,0,240,0,0,0,14.7,241.75,194.25,43.25,4.25,0,0,0,0,0,241.75,0,0,0,13.525,11.65635963,low
205,GA,Sumter,238,211,27,0,0,0,0,0,0,238,0,0,0,26.7,241,219,22,0,0,0,0,0,0,241,0,0,0,25.7,241,229,12,0,0,0,0,0,0,241,0,0,0,25.5,245,218,26,1,0,0,0,0,0,245,0,0,0,28.9,241.25,219.25,21.75,0.25,0,0,0,0,0,241.25,0,0,0,26.7,16.43128203,low
206,GA,Walker,356,269,87,0,0,0,0,0,0,0,0,356,0,14.7,347,269,78,0,0,0,0,0,0,0,0,347,0,15.5,308,233,75,0,0,0,0,0,0,0,0,308,0,15.6,348,267,78,0,3,0,0,0,0,0,0,348,0,18.6,339.75,259.5,79.5,0,0.75,0,0,0,0,0,0,339.75,0,16.1,20.91343353,medium
207,GA,Washington,211,176,34,1,0,0,0,0,0,0,0,211,0,21.4,121,110,11,0,0,0,0,0,0,0,0,121,0,25.9,122,103,19,0,0,0,0,0,0,0,0,122,0,26.7,119,108,10,1,0,0,0,0,0,0,0,119,0,26.9,143.25,124.25,18.5,0.5,0,0,0,0,0,0,0,143.25,0,25.225,17.36670081,low
